State,County,Year,Days with AQI,Good Days,Moderate Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Unhealthy day total
Alabama,Baldwin,2020,269,0.929368029739777,0.07063197026022305,74,49,36,0,0,198,0,71,0,0.0
Alabama,Clay,2020,108,0.9166666666666666,0.08333333333333333,86,49,26,0,0,0,0,108,0,0.0
Alabama,DeKalb,2020,364,0.9615384615384616,0.038461538461538464,90,45,36,0,0,331,0,33,0,0.0
Alabama,Elmore,2020,197,1.0,0.0,47,41,31,0,0,197,0,0,0,0.0
Alabama,Etowah,2020,278,0.935251798561151,0.06474820143884892,92,46,34,0,0,204,0,74,0,0.0
Alabama,Jefferson,2020,366,0.5792349726775956,0.412568306010929,129,67,48,0,2,123,0,241,0,0.00819672131147541
Alabama,Lawrence,2020,35,1.0,0.0,40,26,14,0,0,0,0,35,0,0.0
Alabama,Madison,2020,364,0.8434065934065934,0.1565934065934066,88,54,40,0,0,132,0,227,5,0.0
Alabama,Mobile,2020,351,0.7378917378917379,0.2621082621082621,75,58,42,0,0,114,3,234,0,0.0
Alabama,Montgomery,2020,361,0.4487534626038781,0.5457063711911357,116,66,52,0,0,36,0,325,0,0.00554016620498615
Alabama,Morgan,2020,355,0.8676056338028169,0.1323943661971831,71,52,35,0,0,140,0,215,0,0.0
Alabama,Russell,2020,365,0.8191780821917808,0.18082191780821918,99,56,36,0,0,111,0,254,0,0.0
Alabama,Shelby,2020,364,0.9560439560439561,0.04395604395604396,71,46,28,0,0,233,131,0,0,0.0
Alabama,Sumter,2020,362,0.9668508287292817,0.03314917127071823,70,43,29,0,0,178,8,176,0,0.0
Alabama,Tuscaloosa,2020,278,0.960431654676259,0.039568345323741004,97,45,31,0,0,205,0,73,0,0.0
Alaska,Aleutians East ,2020,50,1.0,0.0,31,26,9,0,0,0,0,50,0,0.0
Alaska,Anchorage ,2020,366,0.912568306010929,0.08743169398907104,91,48,22,7,0,0,0,232,127,0.0
Alaska,Bethel ,2020,167,0.9940119760479041,0.005988023952095809,56,21,6,0,0,0,0,24,143,0.0
Alaska,Denali ,2020,354,0.9971751412429378,0.002824858757062147,54,42,33,0,0,354,0,0,0,0.0
Alaska,Fairbanks North Star ,2020,366,0.6994535519125683,0.1994535519125683,170,106,33,0,0,90,5,261,10,0.10109289617486339
Alaska,Juneau ,2020,361,0.9501385041551247,0.04709141274238227,101,40,14,0,0,0,0,331,30,0.002770083102493075
Alaska,Kenai Peninsula ,2020,51,1.0,0.0,40,13,8,0,0,0,0,51,0,0.0
Alaska,Matanuska-Susitna ,2020,357,0.927170868347339,0.0700280112044818,103,45,14,0,0,0,0,278,79,0.0028011204481792717
Alaska,North Slope ,2020,45,1.0,0.0,36,13,6,0,0,0,0,45,0,0.0
Arizona,Apache,2020,362,0.9917127071823204,0.008287292817679558,57,28,14,0,0,0,0,15,347,0.0
Arizona,Cochise,2020,366,0.7486338797814208,0.2459016393442623,108,61,45,0,0,303,0,0,63,0.00546448087431694
Arizona,Coconino,2020,366,0.8661202185792349,0.13387978142076504,93,54,44,0,0,366,0,0,0,0.0
Arizona,Gila,2020,366,0.6366120218579235,0.3251366120218579,174,77,47,0,0,301,44,0,21,0.03825136612021858
Arizona,La Paz,2020,366,0.8032786885245902,0.1912568306010929,125,58,44,0,0,358,0,0,8,0.00546448087431694
Arizona,Maricopa,2020,366,0.03825136612021858,0.412568306010929,282,215,112,0,0,273,0,55,38,0.5491803278688525
Arizona,Mohave,2020,355,0.9774647887323944,0.01971830985915493,116,34,18,0,0,0,0,13,342,0.0028169014084507044
Arizona,Navajo,2020,366,0.8661202185792349,0.13114754098360656,136,54,43,0,0,363,0,0,3,0.00273224043715847
Arizona,Pima,2020,366,0.4207650273224044,0.5437158469945356,277,77,53,0,0,202,0,45,119,0.03551912568306011
